Puzzle,Solution,Solution Count,
.9...2..3.7.6.3....1......9..28...1.8..3..5..96...5...6..7...3..5.1.8.......2..5.,496512783278693145315487269532879614847361592961245378629754831754138926183926457,1,
..4.86.2.1......8........4..2.6.......8...1.776...1..4.53.........2..875..2..831.,594386721137425689286719543321674958948532167765891234853167492619243875472958316,1,
..7.162........3.....8...........1......3784....4.9..7.4..71.3...164.7..9......2.,397516284268794315415823976784265193659137842123489567542971638831642759976358421,1,
3...4..2898.31..7..7...89....34....2..7..3.......7..9....936184...2...3......7...,351749628986312475274568913863491752597623841142875396725936184619284537438157269,1,
1........72...43...8.3.........15....4.238...9.84.....4.9...25...1...8.3....7....,193726485725894361684351927362915748547238619918467532479183256251649873836572194,1,
.....5...17....5.....2.....23....9..5.4.....6..6.4.32..5..19...9.7.2.43..4...6...,629175843173984562485263197238657914514392786796841325352419678967528431841736259,1,
7..28349..........694.........5.........782.5..5.928....3..954............6.5...7,751283496832946751694715328287531964369478215415692873173869542548127639926354187,1,
..1.6.2.......4......5......5.1...4...4.......2...5..768....7.2...92.46..4267.518,431867259569234871278519634857192346394786125126345987683451792715928463942673518,1,
26.....5.8....5......27...1..1...2...........5.4.....81....8.65...4...89.7.5.9..4,263981457817345692495276831931854276786192543524637918149728365652413789378569124,1,
.1...47..6......1.9...2.5........4..1.36.2...542.1....39...........7.......3.19.6,218534769654897312937126584869753421173642895542918637391465278486279153725381946,1,
.....56.212.......365.1....7...6.2.3..41....59..5.2..7......7..5......39.....9.2.,849375612127946358365218974751864293234197865986532147692453781578621439413789526,1,
9.......1......38.52.8.17....7...6.8.........1..35..2973..9.16..15......2.......7,978635241641279385523841796357924618492186573186357429734598162815762934269413857,1,
9.375..4..176......5........365.7.147..4...89..4.6....549.......6.14.......9.....,983752146417689532652314897836597214725431689194268753549876321268143975371925468,1,
.92..4..6.....3....3628...7...3...9......5238....2.6.5265...........9.4.....5....,192574386857693421436281957528316794671945238349827615265438179783169542914752863,1,
.7.1.85.2..3....78...7..46....8....4.5231.......6.....738.........5......14.2....,976148532143256978825739461391875624652314897487692315738461259269587143514923786,1,
.2..41...1.7..3....8.6721..6...2...7241..6.3...3.5......24.7.5..6........34..5...,326941785197583642485672193659328417241796538873154269912437856568219374734865921,1,
..67.........52.9.......8...7.2.8.1.1...65..75.2..9....5..1.7...478.....29.......,916784235784352691325691874479238516138465927562179483853916742647823159291547368,1,
3865...2.2.....1.9.....7...6..189....9.......1.5...........3...82..1...7.532.8..1,386591724247836159519427863632189475498752316175364298761943582824615937953278641,1,
.......1.6.2........8...5429.36..........58.1..4..3........468...6....95.....91.4,549827316632541978178936542913682457267495831854173269791254683426318795385769124,1,
7.521...4............685......3.......8.27...3.7.6.....634..7.2..2.....88.1.5.4.3,785213694136974285924685137259341876618527349347869521563498712472136958891752463,1,
.82...6...4...8....6...52.171.2..4..2......95.....7...6.8.9.512..5....7.4.......6,582139647147628359963745281719253468236481795854967123678394512325816974491572836,1,
..6..........5..1.8....2.7.....9.73...9.785..37......82...1..8.9...8.32.1...6....,526137849794856213831942675682591734419378562375624198253719486967485321148263957,1,
.8.1.6...1..3......6......8...4..9......951....9.6.25..5.8.........4......365...4,385126479147389562962574318526413987738295146419768253254837691671942835893651724,1,
4.1.............696...93.....3......92...4.5.15.26....3.6..1....496..13.7....264.,491856372538127469672493581863579214927314856154268793386741925249685137715932648,1,
.....2....2.......195...6....9....1..7.1.8.4.5..49.7.6..2.....9..6.1.8..947......,634982157728651493195374682469527318273168945581493726812746539356219874947835261,1,
.21...9....91.64...6...48.7..2..716....6........4.9......9.........3..8..8.7..239,421873956879156423365294817952387164147625398638419572213968745794532681586741239,1,
..721.43.....78....6.......5...32...38.56..7..........6.4.....825.7.............3,897215436423678915165394287571432869382569174946187352634951728258743691719826543,1,
5....7......5.....79..8...2.269..71..7.23.85...1..6.29....73...6.9...........5...,512367948468529137793184562326958714974231856851746329285473691639812475147695283,1,
.......37.9.1..8.63.....1..8.....7...3....659.61.......8...1....4...3..591546....,128649537594137826376258194859326741237814659461975283783591462642783915915462378,1,
2.5..8.....9.1.7.5.14.67......7..1...6..51..7...2..8...5.........2.9..8......5..6,275948613689312745314567928523789164968451237147236859856173492732694581491825376,1,
.734.8....4...69.2..8....7.867.2..5.3...4................759......6....7.....2..3,273498165541376982698215374867923451319547826425861739136759248982634517754182693,1,
.....9...59.72........1.4....48..5..8......27..1..73.4.2.34..1...9..........5....,417689235593724861682513479274831596836495127951267384725346918349178652168952743,1,
..6.12.9.1...9.5...24.........3.8..4....69.123....46...9.....5...3.8.....42......,756812493138496527924537168261358974485769312379124685897643251613285749542971836,1,
...86.....57.3....81........36.....74....9..35....81....9....8......16.....5....1,293867514657134928814952376936215847481679253572348169169423785345781692728596431,1,
.8.14......1.754...7....5....8..37..75..9.6.1.1.8...9.................3.49......5,589146273321975468674238519948613752753492681216857394835729146162584937497361825,1,
.........2..1...6.6.........3.2..9.4...8....5.8..41..3.2....3..5....9..119..5.2..,318576492279134568654982137731265984462893715985741623826417359543629871197358246,1,
....78.24......8...5.4...3..4.18..52.....3..1......7.......1.....574....7..35.4.6,193678524476235819852419637649187352287563941531924768364891275925746183718352496,1,
54........6..3.51.7.15.8.......2...7...864.....8....3....3..18....2...........764,549612378862437519731598426695123847317864295428759631976345182184276953253981764,1,
3.97..64....3.........9.1.2...6..5...6...4....1....2.........97946..1....324...1.,359712648128346759674598132493627581265184973817935264581263497946871325732459816,1,
84..62..1....8..29..25.14..7.9............5.6..8..5.....5.....448.....92.6...8...,847962351516384729392571468759846213134297586628135947275619834481753692963428175,1,
.4..7.36.....6..7.....4....3.7.....58.47.9..6.9..3......81..5..5.....1......95...,942571368153968472786243951367412895814759236295836714638127549579684123421395687,1,
.5..4...9........3....328....4....2...28.....8..9.........1.....18.59..4.9.6.3.5.,356748219281596743749132865964371528132865497875924631523417986618259374497683152,1,
...92..56.....3....4..6..3.....9.......45..732..7.65.....5.89.2..6.4.....3.....4.,381924756625173489749865231457391628968452173213786594174538962896247315532619847,1,
671.....2.........9......5......16..46..7.5.......9..4..46.51...1..92.87.8....4..,671358942845926713923714856392541678468273591157869234734685129516492387289137465,1,
9....7.36....1.2...7.9.2........8....1.3.9.85........1.........6.....1288..52..73,921847536483615297576932814365178942214369785798254361132786459657493128849521673,1,
7.......2.2.3..48798.....6.........46.9.4.2.1..8......3.1.6.....9.2..1....2.78..3,735486912126359487984721365513692874679843251248517639351964728897235146462178593,1,
14......3...6.....6.8.7.12..2...4..6..739..84..4.8....2.1..7....8...........2....,149852763752631849638479125823714596517396284964285317291547638485163972376928451,1,
......3.55.9........2.3......1.2..4.....75....584....2....4.7...9....183..7.12...,146287395539164278872539461961823547423675819758491632315948726294756183687312954,1,
.9.24.1.......8..9.....1.6......648.2..78...6.1...2.......3.9.4...89....4......7.,796243158321568749584971263957316482243789516618452397865137924172894635439625871,1,
26....5.8...8.37...7..2....7............9581..1...2...........2....61.9....23..87,263917548941853726578624931789146253632795814415382679394578162827461395156239487,1,
.....4.....3.628.182.7.3....35.7...678.1...2.264.........8..........1..8.....54.3,517984632493562871826713594135278946789146325264359187641837259352491768978625413,1,
9...6.......2..79..63......8..42.......9......12.3......784...11..672...628..1.4.,975164823481253796263789154839427615546918372712536489397845261154672938628391547,1,
........2...7..64..54.627.19.6.28....8...7.245....18......9..17.......8..1...6...,867419352291735648354862791946328175183657924572941863638594217429173586715286439,1,
.25.7.....37.69.....65.2.3.6.....1.....1..27....7....8.....731....9..82....213.97,425371689137869542986542731672498153859136274341725968294687315713954826568213497,1,
............6495...3..576...6.43....342.6......8......89..7.4.5.73.....6.5429....,685312947721649538439857612567431289342968751918725364896173425273584196154296873,1,
