Puzzle,Solution,Solution Count,
2....3.5.3.....8...5.....365..63...7.174.....63.81.5.........714....6..3...2..4..,289163754376945812154728936548639127917452368632817549825394671491576283763281495,1,
.56..1.7...1......32......4.8.5..4......2......73.8.......1...5.3.647.2....2..14.,856431972741962583329785614982576431563124798417398256274819365135647829698253147,1,
....5...6.8....7.....68...2.....9......54...9.7....8...92.7.61...54.6.9..4.2...57,427153986586924731139687542851769423263548179974312865392875614715436298648291357,1,
..........9.1...8...23.5...58..3.6.1.17............9.77..6.....83.79...5.51.....9,168429573395176284472385196584937621917264358623518947749651832836792415251843769,1,
3.9.62..428..4........9.8.79.7......42......9..6.....3..2.1....8..3.6....6.42..1.,379862154285147396614593827937285461428631579156974283542719638891356742763428915,1,
....3.17.......3.6.....68953.4561.......97.8...5.......53.......6.........178....,596834172128975346437216895384561927612497583975328461753649218869152734241783659,1,
.7.6....1.98.7.3..6.3.......65.....81..3...........7...2...9...3...2.1...89....65,274635981598271346613984527965712438147398652832456719421569873356827194789143265,1,
3....2..9.72..8.4........6.4.....6...26.7..381382..4..263...........3....4.6...27,314562789672918543985347261497835612526174938138296475263789154751423896849651327,1,
6.15..4...4.6.75.........7.3..41..9..9....62..54....3..1..9....7...2......5......,671539482942687513538241976386412795197358624254976831413895267769124358825763149,1,
8..3.........6...2.3.95..4.....45...37.8.........2.86..9.......425........65349..,864372195951468372237951648618745239372896514549123867193287456425619783786534921,1,
41...68..9...........38....65...71....1..4.....3.....5...9.35.1..4.1...6.7...8..4,412596837938471652567382419659237148721854963843169725286943571394715286175628394,1,
..62....3....8.1.....5..28...98....1.2.....9..3....5.4.41..36..6..95...8.........,586217943294386175317549286469875321125634897738192564841723659672951438953468712,1,
...6....2....52..82..3..14.45............1.....7...51.3...2.6....87....16....8.7.,783614952164952738295387146451239867836571429927846513379125684548763291612498375,1,
.1..9.27....5..6...8...7..52.1..9....3...89..6..2....3.....3.2.92....1..8......5.,516394278749582631382167495271639584435718962698245713154973826923856147867421359,1,
.2.....6..4.8.9.75.58.6..196.5.1.........4............26.4...51..1..7.2......6..4,927541368146839275358762419635218947712394586894675132269483751481957623573126894,1,
...4.......7.9...........1.........66..97.84..42.8..5..9..5...47.....6.21..6.89..,869431527417295368523867419378514296651972843942386751296753184785149632134628975,1,
........6.2.....3.3.....8.4.....57...7.8.692.2.54.7.....76..4..49.....5.6.......3,548973216726184539319562874963215748174836925285497361837651492491328657652749183,1,
...4.327..7..89.3.4.3...8..7..915.2.......75.8..7.......28.....3..2..5..9.4......,598463271271589634463172895736915428149628753825734916652891347317246589984357162,1,
..9........76.8...4....19........8.26.....1.57..1.54......26....5.9....429......1,589342617127698543463571928915764832648239175732185496871426359356917284294853761,1,
9..3....4.2..7.96..7.8.....39.467.2.2..........8..............3..7..1.......8467.,985326714423175968176849532391467825264518397758293146619752483847631259532984671,1,
..6..73.2.....6..91.5.9.....1..6......81..9..3..5......93.7..6......2..757.......,986417352742356189135298746419763825658124973327589614293875461861942537574631298,1,
.5418.....6...24.5....3.....8...5..1.1....5.6.......3...5.....8.2.....1.1..4.96.2,754186923361792485892534167987365241213948576546217839475621398629853714138479652,1,
4.8....12...............738.......86......3.4639.8.2..2.6.389.....7.284..7.9.4...,468379512317825469925146738754293186182657394639481257246538971591762843873914625,1,
2.....9....137.6...4.2.9.............3......6...91.4..97....2...1.5.439..6.....14,287146953591378642643259781458623179139487526726915438974831265812564397365792814,1,
.68.531..7......2854....3.........8.....4....63.7.5..4..2..1.3..864..............,268953147793614528541278369124369785857142693639785214472591836386427951915836472,1,
...5....4..8.91..21.582.79.9....5.7...3.......4..3..212....98.5.....8.1....2..9..,392576184478391652165824793921645378753182469846937521214769835639458217587213946,1,
......178.8......2......5........8...4..7...91..5.....2..6.59...9548.6.7..8..24..,962354178587916342431827596753269814846173259129548763274635981395481627618792435,1,
......1....7..5....5.68.......1..82.2..9...415.....6...7...8.9...129....69.5.....,824739165167425983953681472746153829238967541519842637475318296381296754692574318,1,
.2..3..9....5..2.49..1...3..926...1.1...974.67.64....3..4.5......93...........1..,627834591831569274945172638492683715153297486786415923214758369569321847378946152,1,
...3..54..1.2....6.4......9.54.6..9312...7....935...2....45.........91.4....21...,982316547517294386346875219754162893128937465693548721861453972275689134439721658,1,
2...9.4..4....1...95......138....1.2....5...8......9..1...34.9.8.57...1..9...2..4,231695487476281539958473621387946152629157348514328976162834795845769213793512864,1,
...935...43..1.........7...7..6..3.9...5..1..1.8.9..4..6.......8...4..3.3.4.7.8.6,276935481439812567581467293745681329693524178128793645962358714857146932314279856,1,
4...82.19..2.61....9..7....219.......3.........6.4......37..6.2..12...8.9....84..,467582319352961847198473256219856734534127968786349125843715692671294583925638471,1,
8.....27....67...4......3.9..82....3.37..895.9..54........5....3.........6.38...5,841935276293671584576824319658297143437168952912543867789452631325716498164389725,1,
.5....38..1......5..93....66..9......3..47.1.7....8..98...95........1.......6...7,456179382317286945289354176648912753935647218721538469872495631563721894194863527,1,
..1.....6.....5....8.93.......4..61.3..71.5........49.65.3....9..98....4.4...91..,931284756427165938586937241275498613394716582168523497652341879719852364843679125,1,
824.9.....3.....9.......8.1...9...2.7...2.1..94...8.......86.....72..3...61....4.,824591763135867492679432851318975624756324189942618537493186275587249316261753948,1,
.98.2..3.....5....13......28.9.63.5..5...........9...6...7......7.21.3..6.....21.,598427631762351489134689572829163754456872193317594826241738965975216348683945217,1,
...5..8..8.......4.......6316.83..2..7...5...2.576.4........6.7...2...3.687...1..,726543891813692574954187263169834725478925316235761489392418657541276938687359142,1,
4..........9....83.....2...86..1............23....6.49.2.6.....68...31....352..9.,436895271219764583758132964862419357594387612371256849925671438687943125143528796,1,
