Puzzle,Solution,Solution Count,
....9.4...1......696.3.....89....21.3..4......25..........685....9..3.....15.9..8,253896471418752396967314852894635217376421985125987643742168539589273164631549728,1,
.......73...87...6..39.68..6.4.....8...1.87........1...47..1.....6.39.....17...2.,468512973195873246723946851614327598352198764879465132247651389586239417931784625,1,
.3961.4...7.......1...........3..15...59.....92..........2.4..1.54.7.9.3..6.9.27.,539617428472839615168452397647328159385961742921745836793284561254176983816593274,1,
..2.8..13.7...64...4.....5....76..2.6.......7..........2....5.....1....2.53.741..,962485713175326498348917256584763921619542837237891645721639584496158372853274169,1,
1.6....3...59....747..351.......1.7.......6.....2.7.....2...36.7.......43..4.2.59,186724935235916487479835126824691573917358642653247891542179368798563214361482759,1,
.....14.2.....2...2..6..5.95..4.....41..68.....8......9.7.4..8....5..6...41.2.9..,865931472194752836273684519526417398419368725738295164957146283382579641641823957,1,
3.....49821....3.....9...1..34..9.....2.638.....82.7.......6........49..7...1....,367152498219648375548937216834579162172463859956821743481396527625784931793215684,1,
........2.6..12..7.8............95...18..5...3..8..2.6..1.....3..59..17.832..7...,193784652564312897287596314726439581418265739359871246971658423645923178832147965,1,
.61....37.4.......3.9.....6...4.3..1...9.76.....8..2.469......2..2..8....87..4...,861542937745369128329781546276453891418927653953816274694135782532678419187294365,1,
.16..3.......2...6.286..97..6..8...7..2..983..8..7.4.1..329..8.................1.,916743528537928146428615973165384297742169835389572461653291784891437652274856319,1,
.....5......6...1.6.4183...8.6....7...2..41...5.....2......24...8.7.....7...56...,318295746295647813674183295846321579932574168157968324569812437481739652723456981,1,
..4.....8.1.3..4..87.....65................577....6.9413..79..66....197......5..1,394562718516387429872914365469758132281493657753126894138279546625841973947635281,1,
.4.6.8........41.6..179...596.84.............453.7.9..5..98.3..8...5...........7.,345618297798524136621793845962845713187239654453176982574982361816357429239461578,1,
4...52.3.1.7...8....3.7......473...1.5.6...8....12.5.................4.....56..2.,496852137127396854583471962864735291251649783379128546945213678632987415718564329,1,
......2.........4..1.328..53.....4.1..9.86.....8....9.6...53.....3....29.5..4...8,896475213235619847714328965367592481149786352528134796682953174473861529951247638,1,
2.......9...2.67..7...4.6......92..3...6.129....7.........3.1....39..46...4..8..2,261875349349216758758349621615492873837651294492783516926534187183927465574168932,1,
.4...8......9...378.53.....2...3......75...4....1.2..5.1......8..4.......2.7.9.14,743628951162954837895371426251437689937586142486192375519243768674815293328769514,1,
.........72....6...39....2.5..7.9....86..........25..1...95..8.31.6.8.9......3.5.,654297318728531649139486527541769832286314975973825461467952183315678294892143756,1,
9.6.......4...5.....2.98.6.3.....4.1........58...46....2...9....35.6...4..91.....,986713542743625918512498367367952481294871635851346729428539176135267894679184253,1,
....132.4...8..3...1.....6..8.145..3..5.....214.3..9..5.629........6...8.....1...,798613254652874319413952867289145673365789142147326985576298431931467528824531796,1,
....48...6.9..3...4..6792..83..9.........2.3..978...6......7.9..61.24..7...36....,723548619689213745415679283832496571146752938597831462254187396361924857978365124,1,
.3.........71.5.......89..7.5...2..9.41..78.5....9.3..4........5.9....12..2.71...,835724196297165483164389257358412769941637825726598341413256978579843612682971534,1,
4..31.....356..........5.9.7.3.....5..........8..79...34.8.7.59....4.8...71...6.4,497318526235694718168725493723481965914536287586279341342867159659143872871952634,1,
...2......6.5439.......658.5384.....4.18.9....9...1.2.......8.........34......659,315298746867543912942716583538462197421879365796351428653924871179685234284137659,1,
62.....3.34..9..1.8.1..356......9.......3..2....1869..2............153.....86.1..,629751438345698217871423569134279856986534721752186943218347695467915382593862174,1,
.........1.8.4..952..9..3....5621..............48.......15...6.3....9..1..64...5.,593187624168243795247956318835621479619374582724895136481532967352769841976418253,1,
42.9.......6.1.7.5.3...2...7...951.41.42...3....1...5.....36.....9...6.....7.....,427958316896413725531672498782395164154267839963184257245836971379541682618729543,1,
3.79.2..42....43..84.37.21...1.....3...7.......2..........3..7....4...6149.2....8,317962854265184397849375216981546723534721689672893145158639472723458961496217538,1,
6..8...52....6.........54.9....481....96.....2.3..9.8.....5.6.8..5....1....98..34,617894352954362871328175469576248193189637245243519786491753628835426917762981534,1,
..........84........9...524.....6..395......6.68.2..91..56.9....9.3.4.8.3....264.,532947168184265937679138524421796853953481276768523491845679312296314785317852649,1,
...5.....65.1..97..1..98........2.....86..4..4...8...9.....68.2..1.....47..9..16.,894567321652143978317298546139452687528679413476381259945716832261835794783924165,1,
.......8.....9....56...32..9..3...6.2.86....1..1.584.9....1.63.4..........9...5..,192465783843297156567183294974321865258649371631758429725914638486532917319876542,1,
.3.2..4...5.4.9.......7..59.....4.1.7.4.21..5.895.3....9.8...........3..5......4.,931256487857419623246378159325784916764921835189563274492837561678145392513692748,1,
...4.5....58....696...3.......3.7..........91...69........7....96...8..51...4.7.8,793465182458712369621839547219387654376254891584691273842573916967128435135946728,1,
..9.6..4.6..82.....38.....7...9......2..3.....8.7..2.5.4...5.73...3.......549....,759163842614827539238549617467952381521638794983714265146285973892371456375496128,1,
986.51.3...3.6......53..........6.89.7.14.......8.7...69.....5.....7...85.8.....3,986751234723964815415328697154236789879145326362897541697483152231579468548612973,1,
5..............93....5..61.6431....9...6........92..5..8.4..3...953.8...3.6.1....,569831742128746935734592618643157829952684173817923456281465397495378261376219584,1,
.......863..7..4....48...3.97.3..8.2...6.....8.....3.1......7.4..24.7.....3...69.,257143986389762415164895237975314862431628579826579341518936724692487153743251698,1,
