Puzzle,Solution,Solution Count,
..2.1..5...........96......12..49.7.46.1........8......8..24.95.5.7..1.6.7..8..42,742916853813257964596438217125349678468172539937865421381624795254793186679581342,1,
..2.7.4...13..27.99...1.2...2..54......9.....4....1.3..........1.5...6..3.46..5..,682579413513462789947813265829354176731926854456781932268145397195237648374698521,1,
175.9.4......6.98.......7....4..3.....67....485..4.....9........38.5..914.1.7....,175398462243167985689425713924513876316789524857246139592831647738654291461972358,1,
.21...3.8.....4......89...4.58.1...22...4.........9.5..............8.6...6..2.913,421657398789134526635892174958713462216548739374269851143976285592381647867425913,1,
2.5.....8......6..79.....525..6..7..4..79...3..98...6..57..6..9.4.9..........3.2.,265147938834529671791368452583612794426795813179834265357286149642951387918473526,1,
..2.6...4....453....92.3....9.......6..8.12.....3.61......3..2...64..9.1.241.9.53,532968714861745392479213586193524867647891235258376149915637428386452971724189653,1,
....25...35.6....1.....164...4.7......5....14......32.9.....1...6.....5.....4..97,416725938358694271792831645634172589285963714179458326943587162867219453521346897,1,
.....5..4..3812..6.953....82..5..1....1...4.2...........6.....1.....3.8.849.2...5,628795314473812596195346728287534169351689472964271853736958241512463987849127635,1,
75.6..9...487.5...193..8......8...5.5..31.489......6..3..5............36.7.9..1.5,752631948648795312193248567439876251567312489281459673316527894925184736874963125,1,
..8...4......643..1......5...378.1.......5...5..........61..84.2.7.3.....4.5..63.,638251479725964318194873256463789125872315964519642783356197842287436591941528637,1,
.........3..174.25...5.91...8...7.9...3.4.7.27.5....8.....9.........1..3..23.5..4,157832649369174825248569137486257391913648752725913486531496278894721563672385914,1,
6.3.4..5..97...8...825..9.6.......6...4.5.......7.9......2.5...2.9..3..7.7.4..6..,613948752597362841482517936758134269924856173136729485861275394249683517375491628,1,
..37.95...6..81.....73....89.....2.7................5..5...6.13.32..7.6.8...9....,283769541564281739197354628941635287625178394378942156759426813432817965816593472,1,
.74......2.....5..6.......8......824342......5.....9.....6.329..8327.4......9.7..,874359612231846579695712348769135824342968157518427936457683291983271465126594783,1,
..5.6............117....2............9.7...833.86..59.63....728.2.....3.7....1..6,845162379962357841173498265457983612296715483318624597631549728529876134784231956,1,
...3......8.41.7....1.5..6.37.6.2........1.4...8....3.......57.53..641..7........,657328491983416752421957368379642815265831947148579236816293574532764189794185623,1,
