Puzzle,Solution,Solution Count,
........5.4........5......972...3.....4.9..383..4..5274.9.57.8.2....4.......381..,162849375943675812857321469726583941514792638398416527439157286281964753675238194,1,
.8......33628..4.9.............729.1.1..6.78..3..4..6....4..2..7.8.29...4........,584297613362815479179634825846572931215963784937148562693481257758329146421756398,1,
.8..3......4...927..5....3...9.7.341......59.5.......2.4..1.....3...728...2.9..7.,287936415364158927195742836829675341476321598513489762748213659931567284652894173,1,
....7..............6.....94..37.....458.6....2....4..8..9.8..2...2..3.87.4..59.63,981475632724936851365812794193728546458361279276594318639187425512643987847259163,1,
...8..7...87.2....5....7.93...1.3.8........1...4.8......2.7..3......2...931.5..4.,149836725387529164526417893275193486893764512614285379452971638768342951931658247,1,
71..23.65..68...1.53...42...7...6.....4....5...2.....3.....7..62...1....6...4.5.8,718923465426875319539164287175436892364289751982751643843597126257618934691342578,1,
.2.......6......1..5....7..9..67.4..1.2.......375..6..3..15..6..7..4...2..9.....3,721934856693785214854216739985673421162498375437521698348152967576349182219867543,1,
.9.3....2..1.....57.56..9..5..9..............8..57....92..38.1......1.26..8....7.,694357182231849765785612943512986437479123658863574291926738514357491826148265379,1,
....2.1.7..8.45.2...4...95..7.5..3..5.1.........1972...2..39.....97......35......,953628147718945623264371958872564391591283764346197285427839516189756432635412879,1,
..8..2....649..58....1...3...251....8.5.6.4..9..43..2.4.....6.1......9..........3,378652194164973582259184736742518369835269417916437825493825671627341958581796243,1,
.5.6..3.8.6....5....9.716..1.6..8..5.7....8....3.197.4...8........3.6........4...,751642398264983571839571642146738925972465813583219764615827439428396157397154286,1,
7.6.....154..8.6.7.8...3.2......4..36127..85.....6....85....................4.2..,726495381543182697189673425978254163612739854435861972851326749264917538397548216,1,
.54..9.........5..3.1.2...9...4.5.86.3.8.6..2..6.1....2.3.9........8.....491.....,754369821928741563361528479192435786435876912876912345283694157517283694649157238,1,
1..48672...8.276.97..1..4......9.......67..4.......1....7....86.8..1.9..9.43..2..,195486723438527619762139458541293867829671345673854192317942586286715934954368271,1,
6.2..891.5........98.6.7..4...........7.652......71.......941....6.....8..81..5.2,632548917574319826981627354169283745847965231253471689725894163316752498498136572,1,
....9.47....32.........7..1...94...5............631....1925..3...5.7.1.247.....9.,526198473197324658384567921763942815241785369958631247819256734635479182472813596,1,
.....451.9..58.2..8.1.7..4...4..2657...4......8.69...1......96.........2......184,672934518943581276851276349394812657126457893785693421417328965568149732239765184,1,
.........1.4.537...6.....95.....59..7.3....6.6.....5.2.......2..372..1.4..5.....3,579628341124953786368741295842365917753192468691874532416537829937286154285419673,1,
